store_name,rating,review,reviewer_name
Restoran Todak (Orang Asli),1,"don't spend your money here ! ! paying superior price and get super low quality food. don't order crab here! - crab meat with slime - shell is big, once open up meat is smaller than anchovies - crab probably dying soon or already dead told front desk about it, they dont even bother to explain, only ask me how i want to make payment! spend rm410 for 2 pax lunch ! sucks food, bad experience, no service at all !! will update my review if i have any food poisoning issue",caely tham
Restoran Todak (Orang Asli),2,"been many times, but my recent visit just 2 weeks ago was a big disappointment! the crabs , 1 piece were nt so fresh, the fish was bad, as it was overcooked n texture was rubbery! the live prawns were not fresh at all as it was not caught live from the tank whn we were there! very dissatisfied n disappointed!! we feedback to e staff and they were totally defensive and dismissive, rather than offering an attempt to understand or address the issue. there was no effort made to offer an apology or a form of compensation which made our experience more frustrating. when we asked for some compensation in e form of some discounts on our total bill, the reply we got was , “we r just workers, the boss is not around”! what kind of attitude n standards of service is this??",Jen Chan
Restoran Todak (Orang Asli),4,no reviews,Ng ck
49 SEATS,5,among the most beautiful things to see in kuala lumpur,Angelo Cocozza
49 SEATS,5,yummy tom yum pasta,Ang Breanna
49 SEATS,4,no reviews,hann-ya
49 SEATS,5,lovely place to dine in! the food is really delicious have been coming back a few times :),Siew Yi
49 SEATS,5,"tom yum pasta is nice, highly recommend. the fish is also nice",Zhong Ci
49 SEATS,5,food is good with alot of seats,zq
49 SEATS,5,good environment ，nice food,HAILEY WONG
49 SEATS,5,no reviews,phyo
49 SEATS,5,vibe of the place is cute!,Megan Ng
49 SEATS,5,no reviews,itsnathere
49 SEATS,2,super slow in serving. two hungry kids waited a long time. we will have to ask twice even for a bottle of mineral water. very disappointed.,Vicky Weiqi Zhang
49 SEATS,5,it is great place for family gathering. special wall decorations and cozy seat.,limwenyi limwenyi
49 SEATS,5,nice choices of food,Mr Bomboclat
49 SEATS,5,"comforting, tasty food for supper at affordable prices :) great service as well! 10% off after 10pm, and no service charge",Kylie Loo
49 SEATS,5,"pasta is tasty, and service is really good.",Alvin Lee
49 SEATS,1,i ordered the duck agio olio and it was bitter?? waiting time was 45 mins and the pasta wasnt even hot plus it was hard. $20 for this pasta too mind you. the fries was cold too...,Jacinda Tan
49 SEATS,5,very welcoming staff and cosy ambience! famous for their signature tomyum! must try will be back soon :),eilis
49 SEATS,5,49seats is amazing the food here is yummy and service is awesome,Ryan Tan
49 SEATS,5,delicious food and friendly staff!,Geraldine
Restoran Todak (Orang Asli),4,no reviews,Molly Zhou
Restoran Todak (Orang Asli),3,no reviews,Foong Jen Tang
Restoran Todak (Orang Asli),5,no reviews,VT Loh
Restoran Todak (Orang Asli),5,no reviews,Zareena Aurora
Restoran Todak (Orang Asli),5,food was delicious and fresh. would come again,Farah Hana
Restoran Todak (Orang Asli),5,no reviews,探索
Restoran Todak (Orang Asli),5,very traditional place and reasonable price to eat seafood,eeling ng
Restoran Todak (Orang Asli),5,"nice place nice food, price a bit costly but seafood very fresh and many variety to choose. must order curry prawn",Pew Juz
Restoran Todak (Orang Asli),1,"food bad , waitress bad 1 5",X
Restoran Todak (Orang Asli),3,crab is nice. the rest of the dishes are average.,KIN
Restoran Todak (Orang Asli),1,the food is not very delicious i saw dead crabs in the basket. i don’t know if they were cooked for customers. the service attitude is very bad. i can't call it. i haven't arrived after calling it. i didn't take it seriously. i can't call it. i can't call it. it is not recommended to come next door. there is no other choice but to choose him. then it's very dark pink and there is no food to see. . .,Jared Tee
Restoran Todak (Orang Asli),5,no reviews,Lemmone Jaganas
Restoran Todak (Orang Asli),4,no reviews,Lu Ranen
Restoran Todak (Orang Asli),5,no reviews,AHMAD SHAFIKI
Restoran Todak (Orang Asli),5,love the food and the environment at night for dinner.,budiman ags
Restoran Todak (Orang Asli),5,was a little unsure about the reviews but was glad we made it. we arrived when it was low tide and as one other reviewer mentioned the garbage is exposed and the place looks dilapidated and filthy. however the restaurant itself is actually pretty clean including the toilet. the pricing is very reasonable and transparent. the seafood is very fresh and tasty. i did find the seasoning a little too heavy but overall happy with everything. will love to return.,Charlee November
Restoran Todak (Orang Asli),5,no reviews,ntan 002
Restoran Todak (Orang Asli),4,"i recently visited this restaurant. a spacious and clean seafood restaurant that serves no pork and no lard, making it suitable for a wider group of diners. the restaurant is located slightly inside the area, but it's worth the trip. they have a wide variety of live and fresh seafood to choose. all the seafood are market price. freshly catch and will be weigh in front of you. the food was great as always, which is why i visit regularly. i especially enjoyed the teochew steam fish and soy sauce prawn. prices are average and reasonable for fresh seafood. staff were friendly and attentive and service was good. a great place for seafood lovers—definitely recommended!",Andrew Lim
Restoran Todak (Orang Asli),1,"i was recommended this restaurant by a saloon and wanted to try out the seafood. when we got there it was low tide and it didn't look appealing at all with all the trash in the water. service was non existent, find your own seating was the theme. most of the staff were there to just carry or clear food and not much else. do not buy the satay or otah from one of the sub tenants. total garbage, otah was more flour and colouring and had barely any fish, satay meat was cheap frozen chicken or meat with a lot of greasy fat. i saw a lot of uneaten otah and satay sticks on many of the tables. price wise for 1.5 kg black pepper crab, mapo tofu, kang kong and some chinese lettuce came to rm360. which was expected for the quality. however, if you included the time to drive there, it's a barely pass if u're looking for cheap food, if you're expecting decent quality or service, give this place a wide berth especially if getting a grab out of there will take hours of waiting as it's far from the city.",Dylan Lee
Restoran Todak (Orang Asli),4,"reservation is a must, if not have to come earlier to find seats. best to come before sunset. seafood by the sea, very fresh seafood where u get to the items u want. must order the black pepper crab, steam fish, gam heong lala. you get to order satay too but by another vendor. the mutton satay is so good! overall a good place to dine with family. we had 1 chili crab, 2 black pepper crab, kam heong lala, steam fish, 2 vegetables, man tou + rice for 6 pax, total about rm945 including beer and drinks",MEY (Mochima)
Restoran Todak (Orang Asli),1,"one bite of the fish, and i felt like im under the sea.",Yun Yee
Restoran Todak (Orang Asli),3,"service is quite chaotic. u have to find yr own seats first.. then queue to order yr seafood. the place is full of mosquitoes so be prepared to be stung whilst dining. the road into the restaurant is quite bad.. quite sandy and not paved properly. at peak hours there is no parking available outside.. they don't use digital weighing scale to weight ur seafood and they weigh with the pail. so not very accurate. if u want to dine there, order the crabs and live sea fish.. the prawns are not live and some are mushy. the soya sauce for steaming the fish is too sweet.. overall not a very pleasant place to dine at",Jon Peng
Restoran Todak (Orang Asli),5,no reviews,Shihao Huang
Restoran Todak (Orang Asli),4,no reviews,Yvonne Ng
Restoran Todak (Orang Asli),5,no reviews,Rhellyn Pogs
Restoran Todak (Orang Asli),5,"the seafood was absolutely wonderful. for 16 pax, we split into 2 tables and ordered similar dishes for both tables. - hotplate tofu - drunken prawn soup - fried baby squid - kungpao chicken - sambal kang kong - garlic kai lan - 20 pcs of shelled scallops in total - big head lala - 1.5kg red grouper - fried crayfish some drinks included",terry tan
Restoran Todak (Orang Asli),5,no reviews,Ben Changgan
Restoran Todak (Orang Asli),4,no reviews,Wendy Lee
Restoran Todak (Orang Asli),5,"the road leading to the restaurant is kind of rough. have to drive slowly as there are pod holes along the way. food is nice. we ordered baby kailan, drunken prawn and 2 medium size crabs. we chose the crabs to be cooked in black pepper and chilli. the black pepper is very tasty. whereas the chilli crab taste so so. it is different from the singapore chilli crab style. the sauce is more watery. taste kind of like tom yam. drunken prawns are fresh. customer service was ok. atmosphere is ok. the restaurant is on a platform stretches out into the coastal area. pricing is ok.",Sam Lee
Restoran Todak (Orang Asli),5,"the seafood here is super fresh and the portions are really big—great value if you’re coming with a group of at least 4 people. prices might seem high at first, but once you see the portion size, it makes sense. definitely recommend for seafood lovers who enjoy sharing dishes!",Angel Tam
Restoran Todak (Orang Asli),3,since 2002 loyal customer to this restaurant but the taste of the food not like last time.,Retnam Ramesh
Restoran Todak (Orang Asli),3,"we arrived at around 5pm for an early dinner so not much crowd. love the view overlooking sembawang park. though, we were kinda disappointed because we were not advised on the weight of the seafood we chose before it was cooked. staff also recommended an alcoholic dish despite knowing there was a malay patron without informing that dish used cooking wine.",Nurul Hidayah Kamari
Restoran Todak (Orang Asli),1,"the difference! apart from the difference, it’s still a difference! i haven’t made any progress after so many years. the crabs we ordered have died for a long time and are still smelly. we obviously lived when we chose it. as long as we know what magic we changed in their kitchen. . what's worse is the attitude of those employees. . we gave a report that they were not happy, thinking that we would complain after eating the smelly crab. i was speechless. later, i looked online and found out that we were not the first table to encounter this situation, but the store had no intention of making changes. . . awesome. . .",Kelyn _c
Restoran Todak (Orang Asli),4,no reviews,NONTNARIT PH.
Restoran Todak (Orang Asli),5,no reviews,Ranjini Ranjini
Restoran Todak (Orang Asli),4,"the food taste has improved since the last time i been there.. the previous time several months ago was a disappointment. pricing is ok. paid rm300 total for steam fish (750gm), curry prawns, fried eggs, veg, hor fun and 3 beers for 4 pax.",Men Shiang Loh
Restoran Todak (Orang Asli),2,"i came here after hearing so much about the place..it’s quite famous and the scenery is undeniably beautiful. but sadly, the food was a big letdown. the tom yam soup was really bad and totally unacceptable. the lemon chicken had no salt at all, very bland. we ordered two types of fish, the 3 rasa was way too sweet, and the ginger steam fish was just average. no fruit juice available either. honestly, it’s not worth the money. you’re paying for the view, not the food. won’t be coming back",kriatini ranjan
Restoran Todak (Orang Asli),3,"the food is fine, the food is not marked",jiajin lee
Restoran Todak (Orang Asli),1,"the three sweet potato leaves have stones inside, and the store later changed a new plate. the sand pot on the later stage has iron wire in the tofu very disappointing experience the employees who order food are all very similar to their bosses and are rude crab says 158, and if you choose, it's 178",Shu Hui
49 SEATS,5,like the atmosphere,Justin Yip
49 SEATS,4,"the food is delicious and the portion is large, so satisfying",Ang Crystal
49 SEATS,5,"i’m here for the good food and vibes alot of tom yum selection here, i guess is their specialty!",Zache He
49 SEATS,5,the food is amazing and the staff is friendly.,King C
49 SEATS,5,no reviews,tiffany
49 SEATS,5,no reviews,Kayue
49 SEATS,5,the best tomyum pasta! known them.since the kreta ayer days!,Mingli
49 SEATS,5,"after many years, it never fails!",shae png
49 SEATS,5,no reviews,Zerline Teo
49 SEATS,5,no reviews,Wai Kit Chin
49 SEATS,5,love the tomyum pasta,Chy Chew
49 SEATS,5,nice atmosphere and food.,Edwin Ng
49 SEATS,1,"how can you call your carbonara a carbonara when you drown it in a ton of cream and your sauce is not even that good, the meat is not even guanciale and it looks like some ham looking meat if it was bacon i could still say that its okay but no weird meat inside, there was nothing in the carbonara that i can even justify and say that its good and its 20 dollars. im sorry but i cant say its good",Brian Yeo
49 SEATS,4,"ordered the carbonara seafood. sauce is creamy enough and there is plenty of clams in the pasta dish. however, the pasta is on the pricier side... after gst, almost all of their pasta dishes will cost more than 22 dollars... i also felt a bit thirsty after eating the food.",Hong GZ
49 SEATS,4,"big portions of food, value for money.",Aaron Chong
49 SEATS,5,"cool vibes, interesting food choices!",Joshua Lim
49 SEATS,5,"had a great dining experience at 49 seats! the food was delicious, especially their signature pasta dishes. cozy atmosphere, friendly staff, and reasonable prices. definitely a spot worth revisiting!",Vincent Shawal
Restoran Todak (Orang Asli),4,cheap and good seafood. value for money. will be back.,Andrew Wong
Restoran Todak (Orang Asli),5,no reviews,TH Security Solution Wai
Restoran Todak (Orang Asli),2,cheap but pay more for fresher array of seafoods. long waiting during meal times. no availability of dinning tables.,Phil KY
Restoran Todak (Orang Asli),4,no reviews,NAVANITHAN NAVA04 (NAVIN 04)
Restoran Todak (Orang Asli),5,"quite cheap to eat seaafood especially crabs. kamheong tastes good, but i don't prefer her egg sambal crab. parking is wide and if many people are a little fierce. you can see view of sembawang industrial area very close one",Asikin Aziz
Restoran Todak (Orang Asli),5,no reviews,Norizhar Zakaria
Restoran Todak (Orang Asli),5,the place is amazing the staff is highly alert and the atmosphere is welcoming,Essie Ncube
Restoran Todak (Orang Asli),5,"revisited this place after 20+ years, still just as popular! great to see it’s stood the test of time. chope ur table first, table number is painted on the floor, queue at counter to place your orders.",Ivan Tan
Restoran Todak (Orang Asli),4,went with some friends. really enjoyed the deep fried sea bass. it was so fresh and tasty. also enjoyed the spicy prawn dish (forgot the name). the prawns were succulent and sweet. however the drunken prawns were a disappointment. the gravy tasted like plain water with a little hint of rice wine while the prawns weren’t as good as the first prawn dish. likely to come again with my family.,Joanna Peck
Restoran Todak (Orang Asli),5,"the seafood was really impressive! the crab was fresh and the meat was tender and sweet. the tiger prawns were also very fresh, with a firm and juicy texture. the butter squid was rich and flavorful — perfectly cooked! we also had the chili sweet potato leaves, which added a nice spicy kick to balance the meal. overall, a satisfying and delicious seafood feast",魔鬼中的天使
Restoran Todak (Orang Asli),4,no reviews,Ling Yong Soon
Restoran Todak (Orang Asli),3,"lots of rubbish strewn over the car park and under the walk way to the restaurant. other than crabs, the rest of the food doesn’t taste good.",HwaiChan Ng
Restoran Todak (Orang Asli),5,no reviews,Elton Tan
Restoran Todak (Orang Asli),5,"the lobster is amazing, and the crab is a must-try. 200% would recommend you to go if you were in johor bahru.",Ethan Lim
Restoran Todak (Orang Asli),4,very packed. have to wait 30 mins for table. good food.,Shamsul Muhmad
Restoran Todak (Orang Asli),5,"if you want live seafood and at reasonable price, try here! value for money :)",Sing Huat
Restoran Todak (Orang Asli),1,i think the food here is bad. sometimes the taste will run away. the service attitude is bad. the serving is slow. they cook randomly. the taste is different every time. the price is expensive.,Jyee儀
Restoran Todak (Orang Asli),5,nice dinner at the seafront,Edmund oh
49 SEATS,5,food is affordable and nice. best of all no service charge:),Stanley Lee
49 SEATS,5,"we were really hungry and found this place on google. honestly, when we arrived, the restaurant turned out to be way better than how it looks in the photos. the food was absolutely delicious, and the service was 5 stars. highly recommended! we even posted photos before and after to prove just how tasty it was!",Safir Masri
49 SEATS,4,"delay with meal , accidentally given to another guest. when arrived it was only warm . spoke with manager who apologized",Barry Martin
49 SEATS,5,no reviews,Kelly Chang
49 SEATS,5,the experience was excellent,Ewan Yeoh
49 SEATS,4,"what we had: lunch set (11.30am to 5pm) - starter, main dish and drinks - $17.90 1. tom yum seafood pasta visual: 4.5 5 taste: 4.5 5 creamy, spicy, and tangy — the taste and quality have been consistent for years. this is my go-to dish every time i’m here. i’ve tried tom yum pasta from other places, but this one’s my favorite. the amount of seafood is impressive too — i’m not even a big seafood fan, but i always manage to clean my plate. chef’s kiss. nothing bad to say about it :) 2. cheesy chicken chop visual: 4.5 5 taste: 3.5 5 generous portions — the plate was bigger than we expected! lots of crispy fries and coleslaw to go around. unfortunately, the chicken sauce tasted more like pizza sauce, giving it a pizza-on-chicken vibe. it lacked depth and the “wow” factor was mostly from the portion size. we probably wouldn’t order this dish again. 3. cheese fries (ala carte $9.90) visual: 4 5 taste: 4 5 looked awesome and tasty! best to share with more than two people — we couldn’t finish it all and appreciated that the restaurant was happy to provide takeaway boxes. it’s a bit pricey, but when shared among a group, the cost is manageable. plenty of sauce, both cheese and mayo — loved it! tip: visit during their lunch hours for the set meal — it’s definitely worth the price then!",Jehu Limang
49 SEATS,5,found a delicious pasta near your home. the kids like it very much and it tastes great,Tsai Claire
49 SEATS,2,food quite pricey & not very good. at the end had to have post dinner at tiong bahru bakery to fill my stomach.,George
49 SEATS,5,no reviews,Looh Kk
49 SEATS,5,no reviews,chee hwee liew
49 SEATS,4,no reviews,Sxin Tan
49 SEATS,5,"food is nice, service is fast but aircon needs a bit of work. overall, will come again!",Cheery
49 SEATS,5,no reviews,Choo Yen LIn
49 SEATS,5,no reviews,Jun Cheng
49 SEATS,5,"a hidden gem for fusion pasta lovers! 49 seats never disappoints! i came for the famous tom yum seafood pasta and it absolutely lived up to the hype — rich, creamy, spicy, and packed with fresh seafood. the smoked duck pasta was another highlight — tender, flavorful, and surprisingly well-balanced. service was friendly and attentive, and i liked the chill industrial-style decor — cozy enough for a casual date or gathering with friends. prices are reasonable given the portion sizes and central location. would highly recommend if you’re looking for something different from your usual western or asian fare. will definitely be back to try the salted egg pasta next!",Leslie Ng
49 SEATS,5,food is good!,Adhishni
49 SEATS,5,good food and nice staff i recommend this restaurant.,shahinreza shuvo
Good Bites,5,no reviews,Siah Jingyi
Good Bites,5,"perfect for a day out with your kids. i would strongly recommend their sambal goreng pasta, sweet potato fries and honey earl grey hazelnut layer cake!",Kaviraj Anbalagan
Good Bites,5,no reviews,Kyle201081
Good Bites,5,delicious food,Lucy Sai
Good Bites,5,wide range of food options. service provided by staff members was good. particularly enjoyed the waffles with chicken. would recommend!,Duddux
Good Bites,5,no reviews,Kate Rose Golle
Good Bites,5,cozy place. good foods. certainly will recommend & come back again with friends.,Florence Alcalde
Good Bites,5,no reviews,Mae Kimberly Lopez
Good Bites,5,food is great. ambiance is cozy service is awesome! keep up the good work.,Fatima hussin
Good Bites,5,"the ambience was excellent, and the staff were very friendly—especially syahir, who took great care of all of us.",Yvonne Lim Kar Yan
Good Bites,5,syahir very friendly and professional,Freddie Soh
Good Bites,5,staff name syahir service fantastic,Robin Lee
Good Bites,5,syahir is very friendly and helpful.,Lee WoonYew
Good Bites,5,no reviews,Rozainee Abd Hamed
Good Bites,5,very good service sha!,Jolene oh
Good Bites,5,no reviews,Jenneil Masangkay
Good Bites,5,no reviews,Francine Poh
Good Bites,5,beautiful food and nice atmosphere. food is also halal!,Dalila MinJi
Good Bites,5,no reviews,Aehanz Amran
Good Bites,5,no reviews,Kelsey Lin
Good Bites,5,"nice ambiance, beautiful decoration. friendly staff. food is good!",Sya Azril
Good Bites,5,no reviews,hari ravi
Good Bites,5,no reviews,Ashleigh Long
Good Bites,5,food very delicious. environment very chillex,Sharifah Sumayyah
Good Bites,5,air con a bit warm. but the rest is all good.,Shafawati W.
Good Bites,5,first time here - love the service and sambal goreng pasta - super spicy!!! belti is also very friendly and cute!,Irene Evette Chua
Good Bites,5,my go-to birthday spot!,nsbaz _
Good Bites,5,"great service provided, staff was very amicable.",Kai Jie Wan
Good Bites,5,our first time dining in and we are very pleased with the service and the quality of food. our server is very friendly and attentive. felt like having a meal at home as a family. food and desert are tasty too. great service with a smile!,Syasya Sazali
Good Bites,5,no reviews,Shernice Wee
Good Bites,5,no reviews,Rina
Good Bites,4,no reviews,Syazwani Shariff
Good Bites,5,service and environment is good,ling hor
Good Bites,5,great food and service and friendly staffs. high recommended.,Jhona Sonson
Good Bites,5,good customer service,danish afiq
Good Bites,4,"everything’s aite but cherry on top was belti’s service courteous, cheery and accommodating husband and i were well taken care of.",Rosnie Nasuha
Colony,4,"hi team, this is was my 3rd time here overall…and my first time for my mom. overall, the food was great!!! however, i noticed the snowcrabs had a very salty taste and not as fresh as my first two times… prawns were great as usual… out of curiosity, why were the crabs salty last night?",inflextion leslie
Colony,5,"rethish, arvin, tin & ning ning has been really fabulous and super awesome in service. they completed the meal experience and i totally appreciate the attention and the constant pampering. kudos to colony and the standard that you uphold both in terms of service. cocktails can be expanded in terms of variety and options.",Davin Tan
Colony,5,"what's to say, but the utopian buffet experience can only be had at the ritz carlton sunday champagne brunch. from fresh seafood to curated cocktails, you'll be sure to get a bang for your buck if you visit on sunday for their brunch. most buffets claim spreads, but the colony sunday brunch promises quality of the spread. only here can you get bespoke service, where they encourage and entice you to try their 3 cocktails, 2 champagnes, red and white wines, and at least 4 fruit drinks, including the different waters from sparkling to distilled. and if you're lucky to get ningning, you've won the lottery for the day. she's the sunshine of the colony, and brings you warmth and a personal touch that makes you feel like you've got your personalised butler service. don't worry about changing plates, or getting wet ones, or cutlery to dig out the delicious crab. she'll get them for you, and with a smile. thank you, ning ning, for a memorable brunch. we come back because of excellent service from people like you. a shout out to tin, rethish, and angie as well. you're the stars of colony.",dt seluj
Colony,5,"avoid the set menus, go straight to a la carte, get the roast duck and chicken combos",Amit Vedhara
Colony,4,no reviews,Z QQ
Colony,5,"loved the food quality and selection here :) especially colony's laksa and bur bur cha cha. special shoutout to service staff mr saidu for attending to us kindly despite how busy he was he was very helpful, made our birthday celebration experience extra pleasant",Joo Lin
Colony,5,"celebrating friends' birthdays, this place is the most suitable, the environment is comfortable, there are many types of food, the waiter is very friendly nice (reservation is required)",Kerine Chong
Colony,5,no reviews,jan sim
Colony,5,"service is excellent. i tried as much variety as i can and all of them are great. usually buffet have some items that doesn't taste great or taste bad but the food is great throughout. for the quality and service, i feel that this buffet is worth the money and definitely worth a try if you hadn't tried it before.",P JS
Colony,4,"airy, upscale hotel eatery with 7 open kitchens, plus a la carte meals & a generous global buffet. the colony buffet at the ritz-carlton is generally considered a top-tier buffet experience in singapore, known for its diverse and high-quality food, elegant ambiance, and attentive service. we were invited for dinner by a friend of ours. loved the ambience service and food. two guys at the pasta section ,took good care of my dietary requirements when i told them make ravioli for me. they were careful about not adding onions and garlic etc i liked it. the guys at the pizza section didn't want to make any pizza when i requested for a vegetarian one,not sure what's the point of having a live station catering to diner's needs. they just pointed at a few slices on display which didn't look appetising, so i moved to pasta section. desserts and fruits were fresh. at the other sections, food was being replenished in time. indian food section was untouched,looked full except diner going for mutton and tandoori chicken. couldn't take photo of the food,will capture it next time. as a vegetarian who doesn't take onion and garlic,there were some options for me like salads, breads, pasta etc. couldn't find any vegetarian soup as both the soups which were available had meat in it. loved the architecture. it is wheelchair accessible. buffet dinner at colony (sundays to thursdays) available from sunday to thursday from 6 p.m. to 10.30 p.m.the dress code is smart casual. slippers and activewear are not permitted. covered shoes are required for gentlemen. thank you for the top tier dining experience.",Ms. Suchi Singapore
Colony,1,"just had the most horrible experience at colony - ritz carlton. i had called the hotel asking for availability for breakfast to take my family there for a celebration. on arrival, the staff rudely just refused a table. the restaurant had many tables available. she just told us that it will get busy later. no apologies. no one came to help or explain.",Mahesh Pratapneni
Colony,5,i have to go again to eat tiramishu,Js P
Colony,5,no reviews,Valeria ayewinsoe
Colony,5,"it's delicious no matter what you eat, but it's priced",石井洋彦
Colony,4,"really dislike how the space is extremely crowded, with tables placed very close to each other. definitely the worst environment among all the fancy buffets in singapore. the food is fine, and the desserts are especially good, but i would not return because of the overall setting.",Cindy Jiang
